trade_id,entry_time,exit_time,entry_price,minutes_held,lot1_exit_reason,lot2_exit_reason,lot1_exit_price,lot2_exit_price,total_pnl,positive_move_percent,negative_move_percent,win
82,2026-03-19 05:32:00+05:30,2026-03-19 08:11:00+05:30,71166.0,159,take_profit_250pips,time_exit_159min,71168.5,71182.5,6.6499999999999995,0.6042211168254503,-0.7587893095017283,True
83,2026-03-19 16:52:00+05:30,2026-03-19 19:31:00+05:30,70176.0,159,take_profit_250pips,time_exit_159min,70178.5,69884.5,-101.14999999999999,-0.05557455540355677,-2.0227713178294575,False
84,2026-03-19 19:38:00+05:30,2026-03-19 22:17:00+05:30,69672.5,159,take_profit_250pips,time_exit_159min,69675.0,69412.5,-90.125,1.2896049373856255,-0.8360543973590728,False
85,2026-03-20 03:50:00+05:30,2026-03-20 06:29:00+05:30,70396.0,159,take_profit_250pips,time_exit_159min,70398.5,70167.5,-79.1,0.5518779476106597,-0.48369225524177506,False
86,2026-03-20 07:56:00+05:30,2026-03-20 10:35:00+05:30,70168.0,159,take_profit_250pips,time_exit_159min,70170.5,70726.5,196.35,0.9598392429597538,0.0014251510660129973,True
87,2026-03-20 17:04:00+05:30,2026-03-20 19:43:00+05:30,70680.0,159,time_exit_159min,time_exit_159min,69826.5,69826.5,-597.4499999999999,-0.617572156196944,-1.731041312959819,False
88,2026-03-20 21:36:00+05:30,2026-03-21 00:15:00+05:30,69996.0,159,take_profit_250pips,time_exit_159min,69998.5,69705.0,-100.975,0.8050460026287216,-0.5071718383907652,False
89,2026-03-21 00:22:00+05:30,2026-03-21 03:01:00+05:30,69826.5,159,take_profit_250pips,time_exit_159min,69829.0,70474.5,227.67499999999998,1.5230607290928229,0.7454190028141179,True
90,2026-03-21 06:57:00+05:30,2026-03-21 09:36:00+05:30,70605.5,159,take_profit_250pips,time_exit_159min,70608.0,70725.5,42.875,0.28538853205486825,-0.02266112413338904,True
91,2026-03-21 10:16:00+05:30,2026-03-21 12:55:00+05:30,70614.5,159,take_profit_250pips,time_exit_159min,70617.0,70831.5,76.82499999999999,0.34341388808247597,-0.2124209617005006,True
92,2026-03-22 00:06:00+05:30,2026-03-22 02:45:00+05:30,70448.0,159,take_profit_250pips,time_exit_159min,70450.5,70368.0,-27.124999999999993,-0.10362253009311832,-2.2293038837156485,False
93,2026-03-22 10:32:00+05:30,2026-03-22 13:11:00+05:30,69252.0,159,take_profit_250pips,time_exit_159min,69254.5,68986.0,-92.225,-0.27652630970946684,-1.0541211806157222,False
94,2026-03-22 18:20:00+05:30,2026-03-22 20:59:00+05:30,68577.5,159,take_profit_250pips,time_exit_159min,68580.0,68868.5,102.725,0.44110677700411943,-0.029893186540775035,True
95,2026-03-22 21:09:00+05:30,2026-03-22 23:48:00+05:30,68714.5,159,take_profit_250pips,time_exit_159min,68717.0,68685.5,-9.274999999999999,0.006548836126290667,-0.9663171528571117,False
96,2026-03-23 05:58:00+05:30,2026-03-23 08:37:00+05:30,67980.5,159,take_profit_250pips,time_exit_159min,67983.0,68458.0,168.0,1.2863983053964003,0.06325343296974868,True
97,2026-03-23 09:27:00+05:30,2026-03-23 12:06:00+05:30,68037.5,159,take_profit_250pips,time_exit_159min,68040.0,68315.5,98.175,0.9406577255190153,-0.826749954069447,True
98,2026-03-23 13:22:00+05:30,2026-03-23 16:01:00+05:30,68341.0,159,take_profit_250pips,time_exit_159min,68343.5,68395.0,19.775,4.582168829838603,-0.10754890914677864,True
99,2026-03-24 03:19:00+05:30,2026-03-24 05:58:00+05:30,70884.0,159,take_profit_250pips,time_exit_159min,70886.5,70678.0,-71.225,-0.04302804582134191,-0.8873652728401331,False
100,2026-03-24 11:36:00+05:30,2026-03-24 14:15:00+05:30,70368.0,159,take_profit_250pips,time_exit_159min,70370.5,71045.5,237.99999999999997,1.3884151887221463,0.6416268758526603,True
101,2026-03-25 00:13:00+05:30,2026-03-25 02:52:00+05:30,69502.5,159,take_profit_250pips,time_exit_159min,69505.0,69942.0,154.7,1.8797884968166614,0.5316355526779613,True
102,2026-03-25 08:10:00+05:30,2026-03-25 10:49:00+05:30,70701.5,159,take_profit_250pips,time_exit_159min,70704.0,71091.5,137.37499999999997,0.7616528645078251,0.22064595517775437,True
103,2026-03-25 12:37:00+05:30,2026-03-25 15:16:00+05:30,71024.5,159,take_profit_250pips,time_exit_159min,71027.0,71150.5,44.974999999999994,1.3791015776246225,0.057022576716485154,True
